kernel,quant,batch,dim_m,dim_n,dim_k,layout,throughput_tps,latency_us,bandwidth_gbps,xmx_util_pct,variance_pct,regime,tier,is_winner,source_file
mmvq_aos_baseline,Q6_K,3,2048,2048,2048,AOS,21043.298691,142.5632,24.355009,0.0,4.88,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q6_K,3,2048,2048,2048,SOA,45142.650776,66.456,52.247021,0.0,3.61,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_coalesced,Q6_K,3,2048,2048,2048,COALESCED,19692.895853,152.3392,22.792085,0.0,21.66,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_slm_cached,Q6_K,3,2048,2048,2048,AOS,11379.60229,263.6296,13.170479,0.0,4.23,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q6_K,3,2048,2048,2048,AOS,12355.929858,242.7984,14.300457,0.0,2.43,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q6_K,3,2048,2048,2048,AOS,14984.625774,200.2052,17.342846,0.0,2.3,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q4_0,4,2048,2048,2048,AOS,37598.649457,106.3868,22.571221,0.0,1.36,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q4_0,4,2048,2048,2048,SOA,130422.307431,30.6696,78.29512,0.0,2.05,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_coalesced,Q4_0,4,2048,2048,2048,COALESCED,181080.689555,22.0896,108.70636,0.0,2.57,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_slm_cached,Q4_0,4,2048,2048,2048,AOS,34177.401219,117.0364,20.517377,0.0,2.39,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q4_0,4,2048,2048,2048,AOS,20698.834035,193.2476,12.425924,0.0,1.44,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q4_0,4,2048,2048,2048,AOS,25545.655195,156.5824,15.335568,0.0,1.88,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q8_0,4,2048,2048,2048,AOS,20783.84181,192.4572,23.373675,0.0,0.77,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q8_0,4,2048,2048,2048,SOA,100108.116766,39.9568,112.582389,0.0,1.08,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_coalesced,Q8_0,4,2048,2048,2048,COALESCED,161943.319838,24.7,182.122753,0.0,1.81,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_slm_cached,Q8_0,4,2048,2048,2048,AOS,19130.334972,209.092,21.514128,0.0,2.07,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q8_0,4,2048,2048,2048,AOS,12278.224569,325.78,13.80819,0.0,1.38,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q8_0,4,2048,2048,2048,AOS,15516.192699,257.7952,17.449634,0.0,1.28,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q6_K,4,2048,2048,2048,AOS,21435.400135,186.6072,18.66286,0.0,3.96,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q6_K,4,2048,2048,2048,SOA,46608.74753,85.8208,40.580186,0.0,0.91,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_coalesced,Q6_K,4,2048,2048,2048,COALESCED,21093.886781,189.6284,18.365519,0.0,15.35,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_slm_cached,Q6_K,4,2048,2048,2048,AOS,11384.374036,351.3588,9.911874,0.0,4.37,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q6_K,4,2048,2048,2048,AOS,12466.061149,320.8712,10.853651,0.0,1.61,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q6_K,4,2048,2048,2048,AOS,14996.798184,266.7236,13.057052,0.0,2.02,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q4_0,1,4096,4096,4096,AOS,9409.320497,106.2776,88.995009,0.0,8.6,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q4_0,1,4096,4096,4096,SOA,41760.62808,23.946,394.97937,0.0,11.4,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_coalesced,Q4_0,1,4096,4096,4096,COALESCED,63593.813594,15.7248,601.481481,0.0,11.25,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_slm_cached,Q4_0,1,4096,4096,4096,AOS,8501.290496,117.6292,80.406702,0.0,7.79,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q4_0,1,4096,4096,4096,AOS,5252.586374,190.3824,49.679886,0.0,7.19,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q4_0,1,4096,4096,4096,AOS,5892.501909,169.7072,55.73232,0.0,7.87,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q8_0,1,4096,4096,4096,AOS,4295.842655,232.7832,76.666976,0.0,6.13,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q8_0,1,4096,4096,4096,SOA,29764.385127,33.5972,531.198552,0.0,9.21,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_coalesced,Q8_0,1,4096,4096,4096,COALESCED,45538.170094,21.9596,812.709885,0.0,10.8,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_slm_cached,Q8_0,1,4096,4096,4096,AOS,4291.911806,232.9964,76.596823,0.0,7.87,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q8_0,1,4096,4096,4096,AOS,2650.545694,377.2808,47.303716,0.0,7.17,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q8_0,1,4096,4096,4096,AOS,3573.562499,279.8328,63.776598,0.0,7.36,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q6_K,1,4096,4096,4096,AOS,5271.303446,189.7064,72.657285,0.0,6.31,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q6_K,1,4096,4096,4096,SOA,13578.174985,73.6476,187.155481,0.0,7.84,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_coalesced,Q6_K,1,4096,4096,4096,COALESCED,7219.299208,138.5176,99.507586,0.0,6.73,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_slm_cached,Q6_K,1,4096,4096,4096,AOS,2193.890804,455.8112,30.239608,0.0,4.34,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q6_K,1,4096,4096,4096,AOS,2251.741046,444.1008,31.03699,0.0,7.59,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q6_K,1,4096,4096,4096,AOS,2694.328439,371.15,37.137416,0.0,6.55,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q4_0,2,4096,4096,4096,AOS,9702.953773,206.1228,45.987964,0.0,1.38,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q4_0,2,4096,4096,4096,SOA,44264.631674,45.1828,209.79594,0.0,2.86,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_coalesced,Q4_0,2,4096,4096,4096,COALESCED,65645.226936,30.4668,311.131067,0.0,2.17,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_slm_cached,Q4_0,2,4096,4096,4096,AOS,8675.795918,230.5264,41.119664,0.0,1.02,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q4_0,2,4096,4096,4096,AOS,5402.66027,370.188,25.606362,0.0,1.17,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q4_0,2,4096,4096,4096,AOS,6064.862491,329.7684,28.744925,0.0,1.37,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q8_0,2,4096,4096,4096,AOS,4434.37349,451.022,39.616196,0.0,1.38,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q8_0,2,4096,4096,4096,SOA,29108.86132,68.7076,260.055307,0.0,2.49,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_coalesced,Q8_0,2,4096,4096,4096,COALESCED,45700.497221,43.7632,408.283124,0.0,2.44,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_slm_cached,Q8_0,2,4096,4096,4096,AOS,4428.195918,451.6512,39.561006,0.0,1.21,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q8_0,2,4096,4096,4096,AOS,2732.846741,731.8376,24.414947,0.0,1.25,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q8_0,2,4096,4096,4096,AOS,3691.835137,541.736,32.982442,0.0,0.95,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q6_K,2,4096,4096,4096,AOS,4157.734467,481.0312,28.697814,0.0,3.33,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q6_K,2,4096,4096,4096,SOA,13585.84898,147.212,93.773225,0.0,17.72,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_coalesced,Q6_K,2,4096,4096,4096,COALESCED,7811.035431,256.048,53.913891,0.0,16.95,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_slm_cached,Q6_K,2,4096,4096,4096,AOS,2398.883464,833.7212,16.557746,0.0,3.83,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q6_K,2,4096,4096,4096,AOS,2409.372652,830.0916,16.630145,0.0,3.68,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q6_K,2,4096,4096,4096,AOS,3054.393868,654.7944,21.082257,0.0,4.16,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q4_0,3,4096,4096,4096,AOS,9733.81267,308.204,30.824259,0.0,1.28,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q4_0,3,4096,4096,4096,SOA,43689.744561,68.666,138.353188,0.0,2.37,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_coalesced,Q4_0,3,4096,4096,4096,COALESCED,66711.734149,44.9696,211.257383,0.0,1.79,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_slm_cached,Q4_0,3,4096,4096,4096,AOS,8714.586824,344.2504,27.596656,0.0,1.58,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q4_0,3,4096,4096,4096,AOS,5424.248561,553.072,17.177076,0.0,1.31,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q4_0,3,4096,4096,4096,AOS,6069.232954,494.2964,19.219561,0.0,1.26,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q8_0,3,4096,4096,4096,AOS,4443.235884,675.1836,26.494672,0.0,1.6,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q8_0,3,4096,4096,4096,SOA,28610.120353,104.858,170.599935,0.0,5.12,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_coalesced,Q8_0,3,4096,4096,4096,COALESCED,46586.165772,64.3968,277.789704,0.0,1.42,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_slm_cached,Q8_0,3,4096,4096,4096,AOS,4446.591984,674.674,26.514684,0.0,1.57,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q8_0,3,4096,4096,4096,AOS,2729.562582,1099.0772,16.276171,0.0,1.44,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q8_0,3,4096,4096,4096,AOS,3666.42566,818.2356,21.862613,0.0,1.97,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q6_K,3,4096,4096,4096,AOS,4319.450428,694.5328,19.906239,0.0,3.92,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q6_K,3,4096,4096,4096,SOA,14105.008971,212.6904,65.003103,0.0,8.06,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_coalesced,Q6_K,3,4096,4096,4096,COALESCED,8572.026164,349.9756,39.504285,0.0,15.44,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_slm_cached,Q6_K,3,4096,4096,4096,AOS,2358.85107,1271.8056,10.870793,0.0,7.69,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q6_K,3,4096,4096,4096,AOS,2506.541237,1196.8684,11.551425,0.0,3.67,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q6_K,3,4096,4096,4096,AOS,3004.510371,998.4988,13.846322,0.0,5.29,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q4_0,4,4096,4096,4096,AOS,9757.972996,409.9212,23.226786,0.0,0.77,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q4_0,4,4096,4096,4096,SOA,44102.211285,90.6984,104.975964,0.0,1.35,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_coalesced,Q4_0,4,4096,4096,4096,COALESCED,65650.829498,60.9284,156.267882,0.0,1.6,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_slm_cached,Q4_0,4,4096,4096,4096,AOS,8750.207817,457.132,20.828015,0.0,1.59,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q4_0,4,4096,4096,4096,AOS,5440.989477,735.1604,12.951122,0.0,1.11,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q4_0,4,4096,4096,4096,AOS,6111.991238,654.4512,14.548299,0.0,1.16,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q8_0,4,4096,4096,4096,AOS,4464.640494,895.9288,19.99016,0.0,2.04,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q8_0,4,4096,4096,4096,SOA,31560.775006,126.7396,141.311476,0.0,8.07,memory_bound,1,False,mmvq_tier1.jsonl
